"Gene_ID","Slyc_P3_m_1","Slyc_P3_m_2","Slyc_P3_m_3","Slyc_P4_d_1","Slyc_P4_d_2","Slyc_P4_d_3","Slyc_P4_p_1","Slyc_P4_p_2","Slyc_P4_p_3","Slyc_P5_d_1","Slyc_P5_d_2","Slyc_P5_d_3","Slyc_P5_p_1","Slyc_P5_p_2","Slyc_P5_p_3","Slyc_P6_d_1","Slyc_P6_d_2","Slyc_P6_d_3","Slyc_P6_p_1","Slyc_P6_p_2","Slyc_P6_p_3","Spen_P3_m_1","Spen_P3_m_2","Spen_P3_m_3","Spen_P4_d_1","Spen_P4_d_2","Spen_P4_d_3","Spen_P4_p_1","Spen_P4_p_2","Spen_P4_p_3","Spen_P5_d_1","Spen_P5_d_2","Spen_P5_d_3","Spen_P5_p_1","Spen_P5_p_2","Spen_P5_p_3","Spen_P6_d_1","Spen_P6_d_2","Spen_P6_d_3","Spen_P6_p_1","Spen_P6_p_2","Spen_P6_p_3","Shab_P3_m_1","Shab_P3_m_2","Shab_P3_m_3","Shab_P4_d_1","Shab_P4_d_2","Shab_P4_d_3","Shab_P4_p_1","Shab_P4_p_2","Shab_P4_p_3","Shab_P5_d_1","Shab_P5_d_2","Shab_P5_d_3","Shab_P5_p_1","Shab_P5_p_2","Shab_P5_p_3","Shab_P6_d_1","Shab_P6_d_2","Shab_P6_d_3","Shab_P6_p_1","Shab_P6_p_2","Shab_P6_p_3"
"Solyc01g111880.2.1",20,84,56,25,96,73,38,104,81,27,79,68,78,92,61,53,193,454,41,161,212,42,49,159,32,76,313,48,67,238,68,173,328,250,179,476,98,305,426,99,254,482,65,70,162,115,118,200,61,83,228,106,172,295,146,161,304,228,305,520,240,259,545
"Solyc02g020940.2.1",66,252,51,191,203,216,268,443,94,289,222,103,184,157,111,469,337,441,194,179,140,152,200,164,1013,1184,1237,433,568,393,2095,1977,1465,1857,1461,1225,2994,1515,1361,1543,2236,1779,114,62,74,245,185,151,69,86,101,492,447,400,164,135,151,711,600,840,557,360,404
"Solyc02g021340.2.1",9,7,9,13,5,4,7,7,5,9,5,2,12,8,3,11,8,14,5,4,4,9,5,5,6,3,2,5,4,5,3,4,6,19,7,7,5,7,1,5,3,11,29,16,23,18,17,11,6,17,24,21,15,21,13,13,28,36,27,19,27,12,17
"Solyc02g021410.2.1",NA,3,4,1,2,2,1,2,1,NA,3,2,3,1,1,4,3,2,2,1,2,NA,1,NA,1,1,NA,NA,1,3,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,2,NA,1,1,1,1,1
"Solyc02g030450.2.1",52,40,49,25,51,48,45,43,61,39,34,11,41,51,27,38,33,28,38,30,30,36,25,36,14,8,24,24,29,22,2,3,4,36,20,16,5,8,5,5,2,5,57,48,57,41,37,14,37,41,52,32,26,40,48,47,38,25,11,17,39,27,27
"Solyc02g032210.1.1",3,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,2
"Solyc02g037550.2.1",5,NA,NA,NA,NA,1,1,3,4,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,6,1,NA,1,NA,6,11,6,1,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA
"Solyc02g062040.2.1",8,6,8,7,4,6,5,3,2,5,10,1,8,7,6,3,4,4,2,1,5,2,3,4,6,1,3,3,3,4,4,1,NA,6,NA,1,3,1,NA,2,1,NA,7,2,2,4,2,2,2,4,1,1,NA,2,NA,2,3,2,NA,NA,1,1,NA
"Solyc02g063030.2.1",144,97,96,81,87,46,122,109,105,103,65,34,137,90,79,203,106,168,162,89,97,121,92,92,210,179,152,152,165,111,226,241,241,336,271,436,283,269,197,190,227,207,129,44,37,53,36,28,46,32,31,59,61,70,74,53,47,127,146,89,137,55,68
"Solyc02g064720.2.1",10,15,13,2,12,1,7,16,11,18,2,NA,12,6,8,10,6,13,9,17,17,24,37,65,7,34,28,34,66,87,12,12,20,49,53,89,18,26,19,20,38,63,57,35,62,14,35,37,43,80,117,11,37,44,44,84,106,34,48,34,84,85,88
